Date,ABBN.VX,ADEN.VX,BAER.VX,CFR.VX,CSGN.VX,GEBN.VX,GIVN.VX,LHN.VX,LONN.VX,NESN.VX,NOVN.VX,ROG.VX,SCMN.VX,SGSN.VX,SIK.VX,SLHN.VX,SREN.VX,UBSG.VX,UHR.VX,ZURN.VX
2017-07-06,22.965286254882812,67.33209228515625,51.400001525878906,75.9011459350586,14.303864479064941,434.0926208496094,1841.0311279296875,55.650001525878906,210.39999389648438,79.7233657836914,76.0482177734375,233.10362243652344,441.8647155761719,2290.0,,336.29998779296875,85.83802032470703,16.0313663482666,349.20001220703125,270.8290710449219
2017-07-07,22.86879539489746,67.2392807006836,51.599998474121094,76.5377426147461,14.402376174926758,436.3362121582031,1834.2197265625,55.54999923706055,211.0,79.33565521240234,76.24111938476562,231.75453186035156,441.57867431640625,2287.0,,338.0,85.93292999267578,16.15608787536621,355.1000061035156,271.58636474609375
2017-07-10,22.965286254882812,68.07454681396484,51.79999923706055,76.68464660644531,14.412227630615234,437.6043701171875,1853.680908203125,56.25,209.8000030517578,80.35340118408203,76.67512512207031,232.4290771484375,443.5810852050781,2320.0,,342.1000061035156,86.40743255615234,16.25202751159668,352.29998779296875,273.76361083984375
2017-07-11,23.013534545898438,66.63602447509766,50.70000076293945,76.29290008544922,14.333417892456055,436.62890625,1833.24658203125,55.849998474121094,210.3000030517578,79.77183532714844,76.0,229.8272705078125,440.91119384765625,2295.0,,341.5,85.83802032470703,16.15608787536621,348.0,271.2077331542969
2017-07-12,23.447750091552734,67.33209228515625,51.25,77.56607055664062,14.392524719238281,445.31072998046875,1854.6539306640625,56.95000076293945,215.0,81.12882232666016,77.63959503173828,234.549072265625,444.7253112792969,2332.0,,342.1000061035156,85.83802032470703,16.117712020874023,351.20001220703125,274.14227294921875
2017-07-13,23.274065017700195,67.5177001953125,51.29999923706055,77.8598861694336,14.520589828491211,444.43280029296875,1860.4923095703125,56.900001525878906,212.1999969482422,81.22575378417969,76.8680191040039,234.25999450683594,445.7742004394531,2342.0,,343.29998779296875,85.83802032470703,16.18486976623535,352.1000061035156,274.8995361328125
2017-07-14,23.274065017700195,67.74971771240234,50.75,78.20266723632812,14.412227630615234,446.6764221191406,1905.253173828125,56.70000076293945,214.5,81.41960906982422,77.0609130859375,236.9581756591797,444.43927001953125,2341.0,,343.0,85.60076904296875,16.175275802612305,353.79998779296875,275.467529296875
2017-07-17,23.28371238708496,67.14646911621094,50.650001525878906,79.13307189941406,14.392524719238281,448.1396484375,1923.7413330078125,57.45000076293945,215.89999389648438,81.03189849853516,77.30203247070312,237.05453491210938,446.3463134765625,2261.0,,343.79998779296875,86.07527923583984,16.204057693481445,363.1000061035156,274.3315734863281
2017-07-18,22.94598960876465,67.14646911621094,50.45000076293945,77.76194763183594,14.106841087341309,445.1156311035156,1912.0645751953125,57.20000076293945,214.39999389648438,80.45033264160156,77.63959503173828,234.35635375976562,445.7742004394531,2253.0,,339.6000061035156,85.17372131347656,16.098526000976562,359.0,271.3023986816406
2017-07-19,23.061779022216797,67.47129821777344,50.54999923706055,78.15370178222656,14.225054740905762,445.700927734375,1907.19921875,56.70000076293945,217.5,80.7895736694336,78.3147201538086,235.2236328125,448.3487243652344,2260.0,,341.29998779296875,85.5533218383789,16.261621475219727,360.5,272.0596618652344
2017-07-20,22.4249267578125,67.1000747680664,50.650001525878906,78.34957122802734,14.284162521362305,446.6764221191406,1849.7886962890625,56.849998474121094,216.6999969482422,80.83804321289062,78.41117095947266,236.37998962402344,449.58831787109375,2255.0,,341.5,85.5533218383789,16.319185256958008,364.29998779296875,272.91162109375
2017-07-21,21.749479293823242,66.26480102539062,49.869998931884766,78.25163269042969,14.028032302856445,440.0430908203125,1869.2498779296875,56.400001525878906,214.89999389648438,80.06261444091797,77.44670104980469,235.1272735595703,447.776611328125,2214.0,,337.6000061035156,86.07527923583984,15.992992401123047,371.1000061035156,271.3023986816406
2017-07-24,21.411752700805664,65.75435638427734,52.099998474121094,77.4681396484375,14.234906196594238,436.823974609375,1849.7886962890625,57.150001525878906,213.10000610351562,79.33565521240234,76.72335052490234,233.77818298339844,445.29742431640625,2191.0,,338.0,85.83802032470703,16.29999542236328,366.0,270.450439453125
2017-07-25,21.517894744873047,66.4504165649414,53.75,77.27226257324219,14.362971305847168,436.823974609375,1853.680908203125,57.45000076293945,214.60000610351562,79.6264419555664,76.96446990966797,233.29635620117188,444.8206787109375,2170.0,,341.70001220703125,86.97683715820312,16.56862449645996,368.20001220703125,274.4262390136719
2017-07-26,21.537193298339844,67.2392807006836,53.29999923706055,77.8109130859375,14.491036415100098,440.3357238769531,1867.3037109375,57.29999923706055,231.10000610351562,79.82029724121094,77.9289321899414,233.58544921875,450.3511047363281,2175.0,,343.29998779296875,87.26153564453125,16.5974063873291,369.0,274.99420166015625
2017-07-27,21.68193244934082,67.5177001953125,54.650001525878906,78.93719482421875,14.451631546020508,442.2867126464844,1864.384521484375,57.349998474121094,233.10000610351562,79.04487609863281,78.84517669677734,234.0672607421875,452.353515625,2175.0,,346.1000061035156,87.97329711914062,16.693344116210938,377.5,277.36077880859375
2017-07-28,21.87491798400879,67.74971771240234,54.099998474121094,80.21037292480469,14.904784202575684,446.4813232421875,1861.4654541015625,57.54999923706055,231.39999389648438,79.19026184082031,78.74873352050781,233.6818084716797,449.9696960449219,2151.0,,347.3999938964844,88.06820678710938,16.213651657104492,382.79998779296875,277.36077880859375
2017-07-31,21.903867721557617,68.4921875,54.70000076293945,80.45521545410156,14.6585054397583,453.7975158691406,1873.14208984375,57.849998474121094,230.0,79.19026184082031,79.47208404541016,235.99453735351562,450.7325439453125,2138.0,,353.0,88.49525451660156,16.136899948120117,383.8999938964844,279.064697265625
2017-08-02,22.00035858154297,69.04903411865234,55.54999923706055,81.38561248779297,14.69791030883789,461.89404296875,1919.8489990234375,58.0,232.60000610351562,79.7233657836914,79.80964660644531,237.53636169433594,455.4048156738281,2159.0,,361.6000061035156,89.87132263183594,16.232839584350586,392.0,282.75653076171875
2017-08-03,21.961761474609375,68.63139343261719,55.75,82.60982513427734,14.73731517791748,463.9425964355469,1911.091552734375,58.400001525878906,230.3000030517578,80.06261444091797,79.42385864257812,237.9217987060547,456.93048095703125,2169.0,,361.70001220703125,90.10857391357422,16.25202751159668,396.0,282.661865234375
2017-08-04,21.952112197875977,69.0954360961914,55.5,83.58919525146484,15.04270076751709,470.1856994628906,1926.6605224609375,59.0,228.5,80.6926498413086,79.66497039794922,238.9818115234375,458.1700439453125,2181.0,,362.79998779296875,87.3564453125,16.36715316772461,398.70001220703125,281.33660888671875
2017-08-07,21.82667350769043,69.23464965820312,55.650001525878906,83.63816833496094,15.04270076751709,471.5513916015625,1917.9029541015625,59.5,228.1999969482422,80.5957260131836,79.134521484375,238.40362548828125,460.0771179199219,2179.0,,362.8999938964844,87.21409606933594,16.27121353149414,396.1000061035156,282.1885681152344
2017-08-08,21.990711212158203,69.51306915283203,55.29999923706055,83.58919525146484,14.99344539642334,470.0881652832031,1913.03759765625,59.650001525878906,227.1999969482422,80.6926498413086,79.52030181884766,238.21090698242188,460.0771179199219,2181.0,,363.5,86.97683715820312,16.232839584350586,393.70001220703125,281.4312438964844
2017-08-09,21.56614112854004,68.8170166015625,53.900001525878906,82.07118225097656,14.540291786193848,464.8205261230469,1891.6302490234375,58.650001525878906,224.89999389648438,79.6749038696289,78.07360076904297,235.99453735351562,457.4072570800781,2164.0,,354.5,85.6956787109375,15.9833984375,382.79998779296875,277.6447448730469
2017-08-10,21.30561065673828,64.40863800048828,53.400001525878906,81.53252410888672,14.313714981079102,461.01611328125,1876.061279296875,58.04999923706055,223.0,79.14179992675781,77.59136962890625,234.16363525390625,454.35595703125,2149.0,,348.29998779296875,84.12980651855469,15.877864837646484,378.0,276.5088195800781
2017-08-11,21.209117889404297,64.08380889892578,52.45000076293945,80.89592742919922,14.126543998718262,457.9920959472656,1864.384521484375,57.5,222.3000030517578,78.36637115478516,77.0609130859375,233.4890899658203,450.6371765136719,2128.0,,345.6000061035156,83.75019836425781,15.71476936340332,375.1000061035156,273.76361083984375
2017-08-14,21.50824737548828,65.05828857421875,54.29999923706055,82.41395568847656,14.412227630615234,467.9421081542969,1887.738037109375,58.150001525878906,224.8000030517578,79.86875915527344,78.60405731201172,235.51271057128906,459.21893310546875,2154.0,,350.8999938964844,84.79411315917969,15.973804473876953,381.8999938964844,278.3074035644531
2017-08-15,21.50824737548828,65.05828857421875,54.29999923706055,82.41395568847656,14.412227630615234,467.9421081542969,1887.738037109375,58.150001525878906,224.8000030517578,79.86875915527344,78.60405731201172,235.51271057128906,459.21893310546875,2154.0,,350.8999938964844,84.79411315917969,15.973804473876953,381.8999938964844,278.3074035644531
2017-08-16,21.69158172607422,66.07917785644531,54.70000076293945,81.87529754638672,14.372822761535645,467.2592468261719,1901.36083984375,58.5,232.1999969482422,79.33565521240234,79.0380630493164,236.18727111816406,456.4537048339844,2169.0,,350.3999938964844,84.17725372314453,15.935429573059082,377.29998779296875,280.3899841308594
2017-08-17,21.69158172607422,66.07917785644531,54.70000076293945,81.87529754638672,14.372822761535645,467.2592468261719,1901.36083984375,58.5,232.1999969482422,79.33565521240234,79.0380630493164,236.18727111816406,456.4537048339844,2169.0,,350.3999938964844,84.17725372314453,15.935429573059082,377.29998779296875,280.3899841308594
2017-08-18,21.170520782470703,65.197509765625,53.900001525878906,80.50418090820312,14.165948867797852,435.55584716796875,1878.0074462890625,57.5,229.10000610351562,78.36637115478516,76.96446990966797,232.62181091308594,452.54425048828125,2141.0,,346.20001220703125,82.9909896850586,15.570860862731934,371.0,276.0354919433594
2017-08-21,21.12227439880371,65.24391174316406,53.95000076293945,80.7490234375,14.047735214233398,440.9210510253906,1882.8726806640625,57.54999923706055,230.1999969482422,78.80255126953125,77.109130859375,231.65817260742188,457.2165222167969,2144.0,,346.29998779296875,83.18079376220703,15.45573616027832,371.5,276.13018798828125
2017-08-22,21.527544021606445,66.1255874633789,54.400001525878906,82.02220916748047,14.146245956420898,445.700927734375,1900.3878173828125,58.20000076293945,234.39999389648438,79.43257904052734,77.78426361083984,234.16363525390625,462.1748962402344,2161.0,,347.20001220703125,83.94000244140625,15.474922180175781,373.79998779296875,277.0768127441406
2017-08-23,21.546842575073242,66.1255874633789,53.54999923706055,82.26705169677734,14.136395454406738,436.0435791015625,1900.3878173828125,58.099998474121094,233.6999969482422,79.5295181274414,77.68782043457031,234.0672607421875,460.267822265625,2155.0,,345.70001220703125,84.08235168457031,15.43654727935791,374.29998779296875,277.36077880859375
